,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Periodo,,Industria (B-F),,,,,,Servizi (G-S escluso O),,,,,,,,,,,
,,"Estrazione di minerali da cave e miniere 
(B)","Attività manifatturiere 
(C)","Fornitura di 
energia elettrica, gas, vapore e aria condizionata 
(D)","Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento 
(E)","Costruzioni 
(F)",,"Commercio al dettaglio; riparazione di autoveicoli e motocicli 
(G)","Trasporto e magazzinaggio 
(H)","Attività dei servizi di alloggio e ristorazione 
(I)","Servizi di informazione e comunicazione 
(J)","Attività finanziarie 
e assicurative 
(K)","Attività professionali, scientifiche e tecniche 
(M)","Noleggio, agenzie di viaggio, servizi di supporto alle imprese 
(N)","Attività immobiliari, professionali e noleggio (L-N) (a)","Istruzione 
(P)","Sanità e assistenza sociale 
(Q)","Attività artistiche, sportive, di intrattenimento e divertimento 
(R)","Altre attività di servizi 
(S)"
Valori percentuali,,,,,,,,,,,,,,,,,,,
2010,I Trimestre,"0,1","0,4","0,3","0,3","0,8",,"0,8","0,6","0,8","0,9","0,6","0,9","0,7","0,8","0,6","1,2","1,6","1,3"
,II Trimestre,"0,2","0,5","0,3","0,5","0,6",,"0,9","0,5","1,0","0,6","0,6","1,2","0,5","0,7","0,9","1,0","1,4","0,8"
,III Trimestre,"0,2","0,5","0,3","0,6","0,7",,"1,1","0,5","0,9","0,6","0,6","1,1","0,8","0,9","0,6","1,0","1,5","0,9"
,IV Trimestre,"0,0","0,5","0,4","0,3","0,6",,"1,0","0,6","1,1","0,6","0,6","1,0","0,9","0,9","0,6","1,1","1,3","0,5"
2011,I Trimestre,"0,2","0,6","0,5","0,7","0,9",,"0,9","0,5","1,1","1,0","0,5","1,1","1,0","1,0","0,8","1,1","1,5","0,7"
,II Trimestre,"0,2","0,6","0,3","0,9","0,6",,"1,0","0,6","1,1","0,9","0,6","1,5","1,3","1,3","2,6","1,2","1,5","0,6"
,III Trimestre,"0,1","0,6","0,3","0,5","0,7",,"0,9","0,4","1,2","1,2","0,4","1,4","1,0","1,1","0,6","0,9","1,1","1,0"
,IV Trimestre,"0,2","0,5","0,2","0,5","0,6",,"0,8","0,5","1,1","0,9","0,4","1,2","0,9","1,0","0,8","0,7","1,0","0,6"
2012,I Trimestre,"0,1","0,5","0,2","0,4","0,8",,"0,8","0,5","1,1","0,7","0,3","1,0","0,3","0,5","0,3","0,4","0,8","0,3"
,II Trimestre,"0,3","0,4","0,1","0,3","0,8",,"0,6","0,3","1,0","0,6","0,3","0,8","0,3","0,4","0,4","0,6","0,6","0,5"
,III Trimestre,"0,5","0,4","0,2","0,3","0,5",,"0,6","0,4","0,9","0,6","0,3","0,9","0,4","0,5","0,7","0,4","0,7","0,2"
,IV Trimestre,"0,4","0,4","0,1","0,3","0,6",,"0,4","0,2","0,8","0,5","0,4","0,8","0,4","0,5","0,5","0,5","0,8","0,4"
2013,I Trimestre,"0,7","0,4","0,2","0,3","0,3",,"0,4","0,3","1,0","0,5","0,3","0,7","0,4","0,5","0,4","0,5","0,4","0,3"
,II Trimestre,"0,7","0,4","0,2","0,3","0,5",,"0,4","0,2","0,8","0,5","0,3","0,7","0,4","0,5","0,6","0,5","0,8","0,3"
,III Trimestre,"0,5","0,4","0,2","0,3","0,6",,"0,4","0,3","0,7","0,6","0,3","0,8","0,2","0,4","0,8","0,5","0,6","0,2"
,IV Trimestre,"0,0","0,4","2,5","0,3","0,5",,"0,5","0,2","0,8","0,6","0,4","0,8","0,4","0,5","0,5","0,4","0,6","0,3"
2014,I Trimestre,"0,2","0,5","1,5","0,2","0,5",,"0,6","0,2","0,8","0,7","0,4","1,0","0,4","0,5","0,6","0,6","1,1","0,5"
,II Trimestre,"0,3","0,5","0,3","0,3","0,6",,"0,5","0,3","0,9","0,6","0,3","0,9","0,5","0,6","0,4","0,4","1,0","0,9"
,III Trimestre,"0,1","0,5","0,2","0,3","0,7",,"0,5","0,3","1,0","0,8","0,3","0,8","0,3","0,4","0,3","0,5","1,1","0,7"
,IV Trimestre,"0,0","0,5","0,3","0,2","0,8",,"0,6","0,3","1,0","0,8","0,3","1,0","0,3","0,5","0,4","0,6","1,1","0,3"
2015,I Trimestre,"0,1","0,6","0,2","0,2","0,9",,"0,5","0,3","0,9","1,1","0,5","1,3","0,5","0,7","0,6","0,5","1,0","0,9"
,II Trimestre,"0,2","0,7","0,3","0,3","0,7",,"0,8","0,4","0,9","1,2","0,5","1,1","0,5","0,7","0,8","0,3","0,8","0,7"
,III Trimestre,"0,2","0,6","0,4","0,2","0,4",,"0,7","0,4","0,9","1,3","0,5","1,5","0,5","0,8","0,9","0,3","0,9","0,7"
,IV Trimestre,"0,0","0,6","0,2","0,3","0,5",,"0,7","0,5","0,9","1,3","0,5","1,1","0,6","0,8","0,9","0,4","0,8","0,8"
2016,I Trimestre,"0,2","0,6","0,4","0,4","0,6",,"0,8","0,4","0,9","1,3","0,6","1,4","0,6","0,9","1,1","0,4","1,2","0,6"
,II Trimestre,"0,2","0,7","1,1","0,4","0,7",,"0,6","0,3","1,0","1,1","0,5","1,3","0,5","0,8","1,1","0,5","1,3","0,8"
,III Trimestre,"0,2","0,7","0,7","0,4","0,9",,"0,9","0,3","1,1","1,2","0,5","1,4","0,5","0,8","0,8","0,7","1,2","0,9"
,IV Trimestre,"0,5","0,7","0,3","0,4","0,6",,"0,8","0,5","1,2","1,3","0,6","1,4","0,7","0,9","1,1","0,5","1,5","0,8"
2017,I Trimestre,"0,5","0,8","0,5","0,4","0,8",,"1,0","0,7","1,6","1,7","0,7","1,8","0,8","1,1","1,3","0,8","1,5","1,1"
,II Trimestre,"0,8","0,9","0,6","0,5","0,9",,"0,7","0,6","1,5","1,4","0,8","1,6","1,0","1,2","0,8","0,9","1,9","1,0"
,III Trimestre,"0,7","0,8","0,6","0,6","1,1",,"1,0","0,7","1,7","1,5","0,7","1,4","1,2","1,3","0,7","1,5","2,4","1,3"
,IV Trimestre,"0,3","0,9","0,4","0,6","1,3",,"0,9","0,7","1,6","1,4","0,6","1,2","0,7","0,9","1,0","1,6","2,2","2,1"
2018,I Trimestre,"1,2","0,9","0,7","0,7","1,2",,"0,9","0,8","1,6","1,9","0,7","1,5","0,7","1,0","1,1","0,7","2,1","1,3"
,II Trimestre,"1,5","0,9","0,6","0,7","1,8",,"0,9","0,8","1,7","1,7","0,8","1,9","1,0","1,3","1,2","1,0","2,0","0,9"
,III Trimestre,"1,4","1,0","0,5","0,7","1,4",,"1,1","0,6","1,9","1,5","0,7","2,4","1,0","1,4","1,3","0,9","1,8","1,6"
,IV Trimestre,"1,2","1,1","0,4","0,8","1,6",,"1,2","0,7","2,1","1,7","0,8","1,9","1,1","1,3","1,6","1,2","1,7","1,2"
2019,I Trimestre,"1,2","0,9","0,5","1,0","1,5",,"1,1","0,8","2,0","1,9","0,6","1,9","1,0","1,3","1,3","0,9","1,7","1,0"
,II Trimestre,"1,5","0,9","0,8","0,7","1,7",,"1,2","0,9","2,0","1,8","0,6","1,8","0,9","1,2","1,6","1,1","1,6","1,0"
,III Trimestre,"1,1","0,9","0,9","0,8","1,7",,"1,1","1,0","2,2","1,7","0,7","1,7","0,8","1,1","1,7","0,9","1,7","1,0"
,IV Trimestre,"1,0","0,9","0,6","0,7","1,7",,"1,2","1,0","2,0","1,8","0,6","2,0","0,8","1,2","1,6","1,1","2,1","1,2"
2020,I Trimestre,"0,5","0,4","0,5","0,7","0,6",,"0,7","0,4","0,8","1,3","0,4","1,6","0,4","0,8","0,5","1,3","0,7","0,8"
,II Trimestre,"0,1","0,6","0,5","0,8","1,2",,"0,6","0,6","1,4","1,0","0,5","1,4","0,6","0,9","0,6","1,2","1,2","1,1"
,III Trimestre,"0,1","0,7","0,6","0,9","1,5",,"1,0","0,8","1,2","1,2","0,6","1,5","0,7","1,0","1,3","1,4","1,3","0,8"
,IV Trimestre,"0,2","0,7","0,5","1,1","1,4",,"0,9","0,7","1,6","1,3","0,6","1,8","0,6","1,0","0,8","1,5","1,1","0,9"
2021,I Trimestre,"0,2","1,1","0,9","1,1","1,7",,"1,2","0,8","1,9","2,0","0,7","2,5","1,0","1,5","1,1","1,4","1,2","1,0"
,II Trimestre,"0,5","1,3","1,0","1,2","2,0",,"1,4","1,2","2,3","2,0","0,6","2,6","1,1","1,6","1,5","1,5","1,5","1,4"
,III Trimestre,"0,2","1,5","1,0","1,1","1,9",,"1,5","1,0","2,3","2,2","0,8","2,6","1,3","1,7","1,8","1,6","1,5","1,6"
,IV Trimestre,"0,7","1,6","0,9","1,1","2,0",,"1,6","1,1","2,5","2,3","0,7","2,9","1,5","1,9","2,0","1,8","1,8","2,0"
2022,I Trimestre,"1,0","1,6","1,3","1,0","2,0",,"1,8","1,2","2,8","2,7","0,8","2,7","1,4","1,8","1,8","1,5","2,4","2,2"
,II Trimestre,"1,4","1,6","0,9","1,1","2,1",,"1,8","1,4","2,9","2,8","0,9","3,4","1,4","2,0","1,9","1,5","2,2","2,3"
,III Trimestre,"1,0","1,8","1,2","1,1","2,5",,"2,0","1,2","3,0","2,9","0,9","3,1","1,5","2,0","1,3","1,7","2,4","2,1"
,IV Trimestre,"1,2","1,8","0,9","1,4","2,6",,"1,8","1,3","3,1","2,5","0,8","3,1","1,7","2,1","1,7","1,5","2,8","2,5"
2023,I Trimestre,"1,3","1,7","1,0","1,4","2,7",,"1,6","1,4","3,7","2,8","1,0","2,9","1,5","2,0","2,6","1,6","2,6","2,0"
,II Trimestre,"1,4","1,8","1,1","1,7","2,6",,"1,9","1,2","3,4","2,8","0,9","2,6","1,4","1,8","2,3","1,7","2,5","2,4"
,III Trimestre,"1,5","1,6","0,8","1,8","2,8",,"1,5","1,4","3,4","2,6","1,0","2,4","1,5","1,8","1,9","1,8","2,2","2,5"
,IV Trimestre,"1,3","1,7","1,0","1,5","3,1",,"1,5","1,2","3,6","2,3","0,9","3,0","1,7","2,1","2,4","1,6","1,6","2,6"
2024,I Trimestre,"1,7","1,6","1,3","1,5","3,0",,"1,6","1,3","2,7","2,1","0,9","2,6","1,4","1,8","2,5","1,6","1,4","2,5"
,II Trimestre,"1,6","1,5","1,1","1,0","2,8",,"1,5","1,3","3,0","2,1","0,9","2,6","1,6","1,9","2,1","1,5","1,4","1,7"
,III Trimestre,"1,2","1,5","1,4","1,0","2,4",,"1,5","1,5","2,8","2,0","0,8","2,5","1,4","1,8","1,7","1,6","1,6","2,1"
,IV Trimestre,"0,9","1,4","0,6","1,0","2,3",,"1,4","1,5","2,7","1,8","1,0","2,3","1,5","1,8","1,7","1,7","1,6","2,3"
2025,I Trimestre,"0,5","1,4","0,9","1,0","2,0",,"1,5","1,2","3,0","2,0","0,9","2,2","1,5","1,7","1,2","1,8","2,1","2,1"
,II Trimestre,"0,7","1,4","0,9","1,2","2,1",,"1,4","1,1","2,6","1,8","0,9","2,3","1,4","1,7","1,5","1,6","1,8","1,7"
,III Trimestre,"0,5","1,3","0,9","1,1","2,3",,"1,4","1,1","2,7","1,7","1,0","2,6","1,5","1,9","1,6","1,7","1,6","1,7"
,IV Trimestre,"0,6","1,4","0,6","1,1","2,3",,"1,5","1,4","2,6","1,8","1,2","2,0","1,3","1,6","1,4","1,9","1,7","1,9"
Differenze assolute rispetto al trimeste precedente,,,,,,,,,,,,,,,,,,,
2010,I Trimestre,"0,0","0,1","-0,2","-0,3","0,4",,"0,2","0,1","-0,1","0,3","0,1","-0,3","-0,2","-0,2",.,.,.,.
,II Trimestre,"0,1","0,1","0,0","0,2","-0,2",,"0,1","-0,1","0,2","-0,3","0,0","0,3","-0,2","-0,1","0,3","-0,2","-0,2","-0,5"
,III Trimestre,"0,0","0,0","0,0","0,1","0,1",,"0,2","0,0","-0,1","0,0","0,0","-0,1","0,3","0,2","-0,3","0,0","0,1","0,1"
,IV Trimestre,"-0,2","0,0","0,1","-0,3","-0,1",,"-0,1","0,1","0,2","0,0","0,0","-0,1","0,1","0,0","0,0","0,1","-0,2","-0,4"
2011,I Trimestre,"0,2","0,1","0,1","0,4","0,3",,"-0,1","-0,1","0,0","0,4","-0,1","0,1","0,1","0,1","0,2","0,0","0,2","0,2"
,II Trimestre,"0,0","0,0","-0,2","0,2","-0,3",,"0,1","0,1","0,0","-0,1","0,1","0,4","0,3","0,3","1,8","0,1","0,0","-0,1"
,III Trimestre,"-0,1","0,0","0,0","-0,4","0,1",,"-0,1","-0,2","0,1","0,3","-0,2","-0,1","-0,3","-0,2","-2,0","-0,3","-0,4","0,4"
,IV Trimestre,"0,1","-0,1","-0,1","0,0","-0,1",,"-0,1","0,1","-0,1","-0,3","0,0","-0,2","-0,1","-0,1","0,2","-0,2","-0,1","-0,4"
2012,I Trimestre,"-0,1","0,0","0,0","-0,1","0,2",,"0,0","0,0","0,0","-0,2","-0,1","-0,2","-0,6","-0,5","-0,5","-0,3","-0,2","-0,3"
,II Trimestre,"0,2","-0,1","-0,1","-0,1","0,0",,"-0,2","-0,2","-0,1","-0,1","0,0","-0,2","0,0","-0,1","0,1","0,2","-0,2","0,2"
,III Trimestre,"0,2","0,0","0,1","0,0","-0,3",,"0,0","0,1","-0,1","0,0","0,0","0,1","0,1","0,1","0,3","-0,2","0,1","-0,3"
,IV Trimestre,"-0,1","0,0","-0,1","0,0","0,1",,"-0,2","-0,2","-0,1","-0,1","0,1","-0,1","0,0","0,0","-0,2","0,1","0,1","0,2"
2013,I Trimestre,"0,3","0,0","0,1","0,0","-0,3",,"0,0","0,1","0,2","0,0","-0,1","-0,1","0,0","0,0","-0,1","0,0","-0,4","-0,1"
,II Trimestre,"0,0","0,0","0,0","0,0","0,2",,"0,0","-0,1","-0,2","0,0","0,0","0,0","0,0","0,0","0,2","0,0","0,4","0,0"
,III Trimestre,"-0,2","0,0","0,0","0,0","0,1",,"0,0","0,1","-0,1","0,1","0,0","0,1","-0,2","-0,1","0,2","0,0","-0,2","-0,1"
,IV Trimestre,"-0,5","0,0","2,3","0,0","-0,1",,"0,1","-0,1","0,1","0,0","0,1","0,0","0,2","0,1","-0,3","-0,1","0,0","0,1"
2014,I Trimestre,"0,2","0,1","-1,0","-0,1","0,0",,"0,1","0,0","0,0","0,1","0,0","0,2","0,0","0,0","0,1","0,2","0,5","0,2"
,II Trimestre,"0,1","0,0","-1,2","0,1","0,1",,"-0,1","0,1","0,1","-0,1","-0,1","-0,1","0,1","0,1","-0,2","-0,2","-0,1","0,4"
,III Trimestre,"-0,2","0,0","-0,1","0,0","0,1",,"0,0","0,0","0,1","0,2","0,0","-0,1","-0,2","-0,2","-0,1","0,1","0,1","-0,2"
,IV Trimestre,"-0,1","0,0","0,1","-0,1","0,1",,"0,1","0,0","0,0","0,0","0,0","0,2","0,0","0,1","0,1","0,1","0,0","-0,4"
2015,I Trimestre,"0,1","0,1","-0,1","0,0","0,1",,"-0,1","0,0","-0,1","0,3","0,2","0,3","0,2","0,2","0,2","-0,1","-0,1","0,6"
,II Trimestre,"0,1","0,1","0,1","0,1","-0,2",,"0,3","0,1","0,0","0,1","0,0","-0,2","0,0","0,0","0,2","-0,2","-0,2","-0,2"
,III Trimestre,"0,0","-0,1","0,1","-0,1","-0,3",,"-0,1","0,0","0,0","0,1","0,0","0,4","0,0","0,1","0,1","0,0","0,1","0,0"
,IV Trimestre,"-0,2","0,0","-0,2","0,1","0,1",,"0,0","0,1","0,0","0,0","0,0","-0,4","0,1","0,0","0,0","0,1","-0,1","0,1"
2016,I Trimestre,"0,2","0,0","0,2","0,1","0,1",,"0,1","-0,1","0,0","0,0","0,1","0,3","0,0","0,1","0,2","0,0","0,4","-0,2"
,II Trimestre,"0,0","0,1","0,7","0,0","0,1",,"-0,2","-0,1","0,1","-0,2","-0,1","-0,1","-0,1","-0,1","0,0","0,1","0,1","0,2"
,III Trimestre,"0,0","0,0","-0,4","0,0","0,2",,"0,3","0,0","0,1","0,1","0,0","0,1","0,0","0,0","-0,3","0,2","-0,1","0,1"
,IV Trimestre,"0,3","0,0","-0,4","0,0","-0,3",,"-0,1","0,2","0,1","0,1","0,1","0,0","0,2","0,1","0,3","-0,2","0,3","-0,1"
2017,I Trimestre,"0,0","0,1","0,2","0,0","0,2",,"0,2","0,2","0,4","0,4","0,1","0,4","0,1","0,2","0,2","0,3","0,0","0,3"
,II Trimestre,"0,3","0,1","0,1","0,1","0,1",,"-0,3","-0,1","-0,1","-0,3","0,1","-0,2","0,2","0,1","-0,5","0,1","0,4","-0,1"
,III Trimestre,"-0,1","-0,1","0,0","0,1","0,2",,"0,3","0,1","0,2","0,1","-0,1","-0,2","0,2","0,1","-0,1","0,6","0,5","0,3"
,IV Trimestre,"-0,4","0,1","-0,2","0,0","0,2",,"-0,1","0,0","-0,1","-0,1","-0,1","-0,2","-0,5","-0,4","0,3","0,1","-0,2","0,8"
2018,I Trimestre,"0,9","0,0","0,3","0,1","-0,1",,"0,0","0,1","0,0","0,5","0,1","0,3","0,0","0,1","0,1","-0,9","-0,1","-0,8"
,II Trimestre,"0,3","0,0","-0,1","0,0","0,6",,"0,0","0,0","0,1","-0,2","0,1","0,4","0,3","0,3","0,1","0,3","-0,1","-0,4"
,III Trimestre,"-0,1","0,1","-0,1","0,0","-0,4",,"0,2","-0,2","0,2","-0,2","-0,1","0,5","0,0","0,1","0,1","-0,1","-0,2","0,7"
,IV Trimestre,"-0,2","0,1","-0,1","0,1","0,2",,"0,1","0,1","0,2","0,2","0,1","-0,5","0,1","-0,1","0,3","0,3","-0,1","-0,4"
2019,I Trimestre,"0,0","-0,2","0,1","0,2","-0,1",,"-0,1","0,1","-0,1","0,2","-0,2","0,0","-0,1","0,0","-0,3","-0,3","0,0","-0,2"
,II Trimestre,"0,3","0,0","0,3","-0,3","0,2",,"0,1","0,1","0,0","-0,1","0,0","-0,1","-0,1","-0,1","0,3","0,2","-0,1","0,0"
,III Trimestre,"-0,4","0,0","0,1","0,1","0,0",,"-0,1","0,1","0,2","-0,1","0,1","-0,1","-0,1","-0,1","0,1","-0,2","0,1","0,0"
,IV Trimestre,"-0,1","0,0","-0,3","-0,1","0,0",,"0,1","0,0","-0,2","0,1","-0,1","0,3","0,0","0,1","-0,1","0,2","0,4","0,2"
2020,I Trimestre,"-0,5","-0,5","-0,1","0,0","-1,1",,"-0,5","-0,6","-1,2","-0,5","-0,2","-0,4","-0,4","-0,4","-1,1","0,2","-1,4","-0,4"
,II Trimestre,"-0,4","0,2","0,0","0,1","0,6",,"-0,1","0,2","0,6","-0,3","0,1","-0,2","0,2","0,1","0,1","-0,1","0,5","0,3"
,III Trimestre,"0,0","0,1","0,1","0,1","0,3",,"0,4","0,2","-0,2","0,2","0,1","0,1","0,1","0,1","0,7","0,2","0,1","-0,3"
,IV Trimestre,"0,1","0,0","-0,1","0,2","-0,1",,"-0,1","-0,1","0,4","0,1","0,0","0,3","-0,1","0,0","-0,5","0,1","-0,2","0,1"
2021,I Trimestre,"0,0","0,4","0,4","0,0","0,3",,"0,3","0,1","0,3","0,7","0,1","0,7","0,4","0,5","0,3","-0,1","0,1","0,1"
,II Trimestre,"0,3","0,2","0,1","0,1","0,3",,"0,2","0,4","0,4","0,0","-0,1","0,1","0,1","0,1","0,4","0,1","0,3","0,4"
,III Trimestre,"-0,3","0,2","0,0","-0,1","-0,1",,"0,1","-0,2","0,0","0,2","0,2","0,0","0,2","0,1","0,3","0,1","0,0","0,2"
,IV Trimestre,"0,5","0,1","-0,1","0,0","0,1",,"0,1","0,1","0,2","0,1","-0,1","0,3","0,2","0,2","0,2","0,2","0,3","0,4"
2022,I Trimestre,"0,3","0,0","0,4","-0,1","0,0",,"0,2","0,1","0,3","0,4","0,1","-0,2","-0,1","-0,1","-0,2","-0,3","0,6","0,2"
,II Trimestre,"0,4","0,0","-0,4","0,1","0,1",,"0,0","0,2","0,1","0,1","0,1","0,7","0,0","0,2","0,1","0,0","-0,2","0,1"
,III Trimestre,"-0,4","0,2","0,3","0,0","0,4",,"0,2","-0,2","0,1","0,1","0,0","-0,3","0,1","0,0","-0,6","0,2","0,2","-0,2"
,IV Trimestre,"0,2","0,0","-0,3","0,3","0,1",,"-0,2","0,1","0,1","-0,4","-0,1","0,0","0,2","0,1","0,4","-0,2","0,4","0,4"
2023,I Trimestre,"0,1","-0,1","0,1","0,0","0,1",,"-0,2","0,1","0,6","0,3","0,2","-0,2","-0,2","-0,1","0,9","0,1","-0,2","-0,5"
,II Trimestre,"0,1","0,1","0,1","0,3","-0,1",,"0,3","-0,2","-0,3","0,0","-0,1","-0,3","-0,1","-0,2","-0,3","0,1","-0,1","0,4"
,III Trimestre,"0,1","-0,2","-0,3","0,1","0,2",,"-0,4","0,2","0,0","-0,2","0,1","-0,2","0,1","0,0","-0,4","0,1","-0,3","0,1"
,IV Trimestre,"-0,2","0,1","0,2","-0,3","0,3",,"0,0","-0,2","0,2","-0,3","-0,1","0,6","0,2","0,3","0,5","-0,2","-0,6","0,1"
2024,I Trimestre,"0,4","-0,1","0,3","0,0","-0,1",,"0,1","0,1","-0,9","-0,2","0,0","-0,4","-0,3","-0,3","0,1","0,0","-0,2","-0,1"
,II Trimestre,"-0,1","-0,1","-0,2","-0,5","-0,2",,"-0,1","0,0","0,3","0,0","0,0","0,0","0,2","0,1","-0,4","-0,1","0,0","-0,8"
,III Trimestre,"-0,4","0,0","0,3","0,0","-0,4",,"0,0","0,2","-0,2","-0,1","-0,1","-0,1","-0,2","-0,1","-0,4","0,1","0,2","0,4"
,IV Trimestre,"-0,3","-0,1","-0,8","0,0","-0,1",,"-0,1","0,0","-0,1","-0,2","0,2","-0,2","0,1","0,0","0,0","0,1","0,0","0,2"
2025,I Trimestre,"-0,4","0,0","0,3","0,0","-0,3",,"0,1","-0,3","0,3","0,2","-0,1","-0,1","0,0","-0,1","-0,5","0,1","0,5","-0,2"
,II Trimestre,"0,2","0,0","0,0","0,2","0,1",,"-0,1","-0,1","-0,4","-0,2","0,0","0,1","-0,1","0,0","0,3","-0,2","-0,3","-0,4"
,III Trimestre,"-0,2","-0,1","0,0","-0,1","0,2",,"0,0","0,0","0,1","-0,1","0,1","0,3","0,1","0,2","0,1","0,1","-0,2","0,0"
,IV Trimestre,"0,1","0,1","-0,3","0,0","0,0",,"0,1","0,3","-0,1","0,1","0,2","-0,6","-0,2","-0,3","-0,2","0,2","0,1","0,2"
,,,,,,,,,,,,,,,,,,,
"(a) Questa voce include le sezioni: L (Attività immobiliari), M (Attività professionali, scientifiche e tecniche) e N (Noleggio, agenzie di viaggio, servizi di supporto alle imprese).",,,,,,,,,,,,,,,,,,,
